utc,seq,handled,accepted,rejected,skipped,posted,teams,writers,uptime_s,interval_h,counter_reset,handled_per_h,rejected_per_h,reject_ratio
2026-09-11T19:18:26Z,3,1664,1189,475,2445,1664,54,145,7914,4.01,False,410,118,0.289
2026-09-11T23:18:36Z,4,5938,3840,2098,6617,5937,71,200,22325,4.0,False,1068,405,0.38
2026-09-12T03:19:02Z,5,17689,2517,15172,3065,3101,79,230,7079,4.01,True,,,
2026-09-12T07:19:05Z,6,4822,4652,170,1813,1126,96,288,10010,4.0,True,,,
2026-09-12T11:19:10Z,7,7150,6348,802,4306,2467,114,334,24415,4.0,False,582,158,0.271
2026-09-12T15:19:56Z,8,14595,13031,1564,7905,4450,135,355,38861,4.01,False,1855,190,0.102
2026-09-12T19:20:03Z,9,31541,27075,4466,11554,10272,148,375,53268,4.0,False,4234,725,0.171
2026-09-12T23:20:06Z,10,42000,34184,7816,20349,17589,155,391,67671,4.0,False,2614,837,0.32
2026-09-13T03:20:08Z,11,49634,37855,11779,42936,21711,169,415,82073,4.0,False,1908,991,0.519
2026-09-13T07:25:01Z,12,64850,51465,13385,45716,23338,180,460,96766,4.08,False,3728,393,0.106
2026-09-13T11:25:36Z,13,542,313,229,2008,154,194,678,748,4.01,True,,,
2026-09-13T15:26:32Z,14,6580,6321,259,5006,1040,208,773,2655,4.02,False,1504,7,0.005
2026-09-13T19:26:38Z,15,27325,24324,3001,15217,6906,217,970,17062,4.0,False,5184,685,0.132
2026-09-13T23:26:39Z,16,36338,29743,6595,24252,13600,233,998,31463,4.0,False,2253,898,0.399
2026-09-14T03:27:06Z,17,54120,42992,11128,31328,18602,240,1006,45890,4.01,False,4437,1131,0.255
2026-09-14T07:27:08Z,18,72610,56699,15911,34924,23428,246,1020,60291,4.0,False,4622,1196,0.259
2026-09-14T11:27:18Z,19,89055,70083,18972,38568,27190,269,1050,74701,4.0,False,4108,765,0.186
2026-09-14T15:27:28Z,20,756,656,100,290,639,282,1081,391,4.0,True,,,
2026-09-14T19:27:47Z,21,22320,20867,1453,7710,17790,285,1088,14393,4.01,False,5384,338,0.063
2026-09-14T23:32:27Z,22,39618,36285,3333,21742,29035,292,1100,29071,4.08,False,4242,461,0.109
2026-09-15T03:33:00Z,23,57967,51857,6110,29406,34274,308,1111,43505,4.01,False,4577,693,0.151
2026-09-15T07:38:22Z,24,5759,3697,2062,2354,2047,320,1112,9402,4.09,True,,,
2026-09-15T11:40:43Z,25,19096,15027,4069,4150,4278,323,1121,23938,4.04,False,3302,497,0.15
2026-09-15T16:15:22Z,26,270,220,50,30,77,326,1122,389,4.58,True,,,
2026-09-16T00:18:32Z,27,46996,15200,31796,7895,6614,330,1126,27181,8.05,False,5802,3942,0.679
2026-09-16T04:24:49Z,28,1507,438,1069,476,48,330,1127,2544,4.1,True,,,
2026-09-16T08:30:01Z,29,23905,6957,16948,5471,932,332,1128,17260,4.09,False,5481,3886,0.709
2026-09-16T12:38:37Z,30,43113,13943,29170,8700,1788,335,1128,32168,4.14,False,4636,2950,0.636
2026-09-16T16:40:26Z,31,7608,1705,5903,648,371,338,1129,6324,4.03,True,,,
2026-09-16T20:49:21Z,32,26763,6493,20270,3187,1387,338,1130,21264,4.15,False,4617,3463,0.75
2026-09-17T00:55:58Z,33,47861,12877,34984,8329,2646,338,1131,36061,4.11,False,5133,3580,0.697
2026-09-17T05:02:24Z,34,72358,18810,53548,25976,3664,339,1131,50847,4.11,False,5964,4520,0.758
2026-09-17T09:14:46Z,35,101282,26612,74670,37274,4749,340,1132,65989,4.21,False,6877,5022,0.73
2026-09-17T13:18:00Z,36,129041,36598,92443,41218,5827,340,1133,80578,4.05,False,6847,4384,0.64
2026-09-17T17:21:58Z,37,162243,49927,112316,47461,7518,346,1137,95221,4.07,False,8166,4887,0.599
2026-09-17T21:24:26Z,38,223534,76593,146941,54222,10442,349,1137,109769,4.04,False,15167,8568,0.565
2026-09-18T01:31:30Z,39,259047,87764,171283,58887,13033,349,1137,124589,4.12,False,8624,5911,0.685
2026-09-18T05:35:33Z,40,293879,97773,196106,63454,14848,351,1139,139235,4.07,False,8563,6103,0.713
2026-09-18T09:45:17Z,41,7454,2880,4574,522,402,357,1141,2294,4.16,True,,,
2026-09-18T13:46:44Z,42,90473,14435,76038,7387,10349,359,1142,16782,4.02,False,20630,17759,0.861
2026-09-18T17:47:50Z,43,258508,14435,244073,14192,27209,359,1142,31248,4.02,False,41817,41817,1.0
2026-09-18T21:48:26Z,44,301982,14435,287547,22809,58279,359,1142,45684,4.01,False,10841,10841,1.0
