word_index,word,seat,proposed_utc,receipt_utc,latency_s,propose_seq,receipt_seq
1,The,C,2026-09-18T03:22:39Z,2026-09-18T03:23:56Z,77.0,6,7
2,crypto,A,2026-09-18T03:47:54Z,2026-09-18T03:50:23Z,148.8,9,10
3,gamblers,D,2026-09-18T03:50:23Z,2026-09-18T03:53:48Z,204.8,11,12
4,rise,B,2026-09-18T03:57:09Z,2026-09-18T03:59:28Z,138.7,13,14
5,to,A,2026-09-18T04:03:19Z,2026-09-18T04:03:54Z,34.7,15,16
6,greet,B,2026-09-18T04:04:02Z,2026-09-18T04:07:24Z,201.8,17,19
7,the,C,2026-09-18T04:07:32Z,2026-09-18T04:11:06Z,214.5,21,22
8,dawn;,D,2026-09-18T04:11:07Z,2026-09-18T04:13:41Z,154.6,23,24
9,With,C,2026-09-18T04:13:44Z,2026-09-18T04:16:27Z,163.2,25,26
10,faces,A,2026-09-18T04:16:42Z,2026-09-18T04:22:28Z,345.8,27,28
11,stern,B,2026-09-18T04:22:33Z,2026-09-18T04:26:05Z,212.6,29,30
12,they,D,2026-09-18T04:26:06Z,2026-09-18T04:28:48Z,161.8,31,32
13,hail,C,2026-09-18T04:28:54Z,2026-09-18T04:31:28Z,153.7,33,34
14,the,B,2026-09-18T04:31:38Z,2026-09-18T04:34:09Z,150.9,35,36
15,waking,D,2026-09-18T04:34:10Z,2026-09-18T04:37:21Z,191.1,37,38
16,crowd.,A,2026-09-18T04:37:32Z,2026-09-18T04:41:13Z,220.6,39,40
17,They,C,2026-09-18T04:41:24Z,2026-09-18T04:44:11Z,166.8,41,42
18,cry,B,2026-09-18T04:44:40Z,2026-09-18T04:47:25Z,164.8,43,44
19,good,A,2026-09-18T04:47:32Z,2026-09-18T04:50:24Z,172.4,45,46
20,morning,D,2026-09-18T04:50:25Z,2026-09-18T04:53:13Z,168.0,47,48
21,till,C,2026-09-18T04:53:22Z,2026-09-18T04:56:13Z,170.7,49,50
22,the,B,2026-09-18T04:56:28Z,2026-09-18T04:59:20Z,172.5,51,52
23,bears,D,2026-09-18T04:59:21Z,2026-09-18T05:03:12Z,230.8,53,54
24,are,A,2026-09-18T05:03:18Z,2026-09-18T05:06:46Z,207.7,55,56
25,"gone,",D,2026-09-18T05:06:46Z,2026-09-18T05:11:28Z,281.8,57,58
26,Their,B,2026-09-18T05:11:51Z,2026-09-18T05:15:24Z,213.3,59,60
27,prayers,A,2026-09-18T05:15:32Z,2026-09-18T05:19:23Z,231.5,61,62
28,rise,B,2026-09-18T05:19:25Z,2026-09-18T05:23:23Z,237.5,63,64
29,like,C,2026-09-18T05:26:48Z,2026-09-18T05:30:03Z,195.1,67,68
30,"banners,",D,2026-09-18T05:30:04Z,2026-09-18T05:35:13Z,309.4,69,70
31,high,C,2026-09-18T05:35:21Z,2026-09-18T05:39:05Z,223.5,71,72
